#BioSample,Assembly
SAMN11372894,GCA_012380475.1
SAMN13855149,GCA_012623905.1
SAMN26309163,GCA_023872405.1
SAMN10221341,GCA_012072985.1
SAMN10221664,GCA_012071665.1
SAMN26308812,GCA_023884075.1
SAMN47623379,GCA_049209655.1
SAMN43564969,GCA_044158945.1
SAMN26305070,GCA_023883645.1
SAMN26305150,GCA_023870865.1
SAMN16245285,GCA_014746575.1
SAMN31087317,GCF_025829195.1
SAMN16304153,GCF_015674505.1
SAMN43563494,GCA_044699825.1
SAMN13836990,GCA_018258795.1
SAMN12360017,GCA_012994645.1
SAMN10220975,GCA_003791245.1
SAMN12359945,GCA_016253935.1
SAMN13836986,GCA_018262065.1
SAMN26304816,GCA_023862245.1
SAMN43564667,GCA_044690425.1
SAMN43564356,GCA_044144835.1
SAMN14448590,GCA_012855195.1
SAMN26308477,GCF_023868135.1
SAMN26305089,GCA_023879325.1
SAMN03177648,GCF_000798415.1
SAMN43565156,GCA_044693865.1
SAMN12360022,GCA_012991505.1
SAMN12990696,GCA_012609515.1
SAMN06015667,GCA_012480115.3
SAMN26304636,GCA_023879495.1
SAMN43563976,GCA_044096895.1
SAMN16245229,GCA_014746475.1
SAMN43563531,GCA_044702305.1
SAMN03177677,GCF_000819245.1
SAMN12359730,GCA_012995905.1
SAMN12943742,GCA_012599895.1
SAMN10221223,GCA_012073245.1
SAMN26308996,GCF_023859805.1
SAMN10220963,GCA_003775245.1
SAMN12943705,GCA_012604235.1
SAMN12360005,GCA_015327825.1
SAMN26308420,GCA_023881225.1
SAMN43562996,GCA_044694445.1
SAMN26304386,GCA_023883385.1
SAMN26309072,GCF_023868215.1
SAMN43564924,GCA_044688925.1
SAMN26304587,GCA_025784155.2
SAMN48878348,GCA_053674515.1
SAMN26308711,GCA_023892145.1
SAMN11960651,GCA_012292965.1
SAMN10220972,GCA_003771435.1
SAMN10221657,GCA_012071865.1
SAMN26308994,GCA_023868875.1
SAMN26304507,GCF_023870085.1
SAMN16304158,GCF_015674365.1
SAMN26304628,GCA_023874805.1
SAMN43564640,GCA_044080975.1
SAMN16304077,GCF_015675905.1
SAMN12943503,GCA_012602775.1
SAMN16245118,GCA_014746185.1
SAMN43565206,GCA_044693285.1
SAMN12943651,GCA_012601795.1
SAMN26308923,GCA_023866715.1
SAMN06754732,GCA_012480135.1
SAMN26309290,GCA_023887245.1
SAMN06641842,GCF_003145495.1
SAMN48878913,GCA_053676575.1
SAMN26308882,GCA_023858045.1
SAMN16245235,GCA_014746075.1
SAMN26308955,GCA_025783835.2
SAMN43562771,GCA_044694885.1
SAMN26304522,GCA_023876015.1
SAMN11372906,GCA_012375495.1
SAMN10620119,GCF_004567595.1
SAMN12360020,GCA_012994525.1
SAMN26304514,GCA_023890425.1
SAMN26304511,GCF_023858105.1
SAMN26304649,GCA_023869085.1
SAMN10221406,GCA_012073945.1
SAMN43562928,GCA_044695485.1
SAMN43563190,GCA_044696865.1
SAMN26304828,GCA_025788155.2
SAMN43564392,GCA_044693805.1
SAMN06641865,GCF_003145305.1
SAMN48992303,GCA_050914335.1
SAMN26304990,GCA_023870425.1
SAMN12943467,GCA_012599945.1
SAMN16304223,GCF_015673295.1
SAMN12359672,GCA_012993025.1
SAMN43564979,GCA_044681635.1
SAMN26304839,GCA_023871845.1
SAMN26304481,GCA_023862385.1
SAMN26304796,GCA_023879905.1
SAMN43563014,GCA_044694195.1
SAMN26308872,GCA_025580985.2
SAMN16245263,GCA_020469285.1
SAMN26304704,GCA_023875805.1
SAMN26304734,GCF_023858465.1
SAMN31087107,GCF_025833375.1
SAMN26308759,GCA_023889885.1
SAMN26308719,GCA_023862845.1
SAMN43565055,GCA_044102675.1
SAMN26304743,GCA_023877955.1
SAMN10221560,GCA_012075545.1
SAMN47623383,GCA_049209715.1
SAMN26308404,GCA_023887035.1
SAMN13683693,GCA_012619445.1
SAMN48878802,GCA_053661315.1
SAMN12943618,GCA_012600225.1
SAMN26304965,GCA_023885795.1
SAMN31087201,GCF_025831455.1
SAMN12359894,GCA_012994805.1
SAMN10221642,GCA_012072605.1
SAMN26305165,GCA_023882925.1
SAMN26305254,GCA_023891625.1
SAMN43563023,GCA_044091215.1
SAMN12359542,GCA_015327245.1
SAMN26309377,GCA_023878585.1
SAMN11372905,GCA_012375455.1
SAMN12990655,GCA_012607595.1
SAMN26308357,GCA_023886975.1
SAMN43563774,GCA_044101495.1
SAMN12359933,GCA_012992005.1
SAMN43563412,GCA_044687145.1
SAMN26304793,GCA_023879425.1
SAMN26304674,GCA_023861765.1
SAMN11372848,GCA_012359855.1
SAMN12359697,GCA_012990425.1
SAMN10221036,GCA_012076365.1
SAMN26305127,GCA_025785445.2
SAMN43562907,GCA_044698655.1
SAMN43563802,GCA_044692315.1
SAMN26304598,GCA_023874825.1
SAMN26308900,GCA_023862685.1
SAMN10221231,GCA_004281715.1
SAMN11854358,GCA_012383375.1
SAMN12273952,GCA_012312745.1
SAMN26304727,GCA_023894255.1
SAMN10221367,GCA_003794355.1
SAMN16304253,GCF_015672825.1
SAMN05510454,GCA_012634105.1
SAMN10221051,GCA_012073165.1
SAMN43564281,GCA_044148305.1
SAMN16304085,GCF_015675755.1
SAMN43563360,GCA_044686085.1
SAMN26309359,GCA_023883305.1
SAMN48878059,GCA_053666635.1
SAMN26305148,GCA_023883405.1
SAMN36729132,GCA_031775935.2
SAMN43564868,GCA_044690925.1
SAMN12359994,GCA_012994245.1
SAMN43563470,GCA_044701665.1
SAMN43565132,GCA_044160865.1
SAMN12846495,GCA_012451865.1
SAMN10221451,GCA_003794615.1
SAMN10221588,GCA_003774345.1
SAMN16304315,GCF_015671735.1
SAMN43564539,GCA_044692785.1
SAMN10221474,GCA_012074225.1
SAMN11960653,GCA_012292845.2
SAMN11372930,GCA_012375135.1
SAMN16484120,GCA_014942455.1
SAMN26308811,GCA_023877685.1
SAMN12359995,GCA_012987705.1
SAMN26304618,GCA_023879565.1
SAMN10221595,GCA_015334245.1
SAMN31087398,GCF_025827575.1
SAMN43563473,GCA_044701685.1
SAMN43562833,GCA_044697605.1
SAMN26309187,GCA_023885705.1
SAMN43563764,GCA_044135575.1
SAMN31087217,GCF_025831175.1
SAMN26305004,GCA_023894745.1
SAMN26309162,GCA_025789615.2
SAMN12091250,GCA_012289125.1
SAMN10221218,GCA_012073375.1
SAMN12359853,GCA_012991025.1
SAMN43563676,GCA_044078835.1
SAMN26304694,GCA_025786465.2
SAMN43565016,GCA_044151965.1
SAMN12943646,GCA_012601155.1
SAMN03177626,GCF_000819365.1
SAMN48878536,GCA_053662995.1
SAMN12359803,GCA_012995005.1
SAMN10221222,GCA_012072625.1
SAMN11621531,GCF_006265085.1
SAMN10221378,GCA_004276345.1
SAMN22785518,GCA_020690505.1
SAMN26308849,GCA_023883685.1
SAMN13279665,GCA_012614965.1
