#BioSample,Organism group,Scientific name,Antibiotic,Resistance phenotype,Measurement sign,MIC (mg/L)
SAMN12273952,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26304727,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN10221367,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN16304253,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0
SAMN05510454,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25
SAMN10221051,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN43564281,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN16304085,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0
SAMN43563360,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26309359,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN48878059,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25
SAMN26305148,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN36729132,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25
SAMN43564868,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN12359994,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN43563470,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN43565132,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN12846495,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN10221451,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN10221588,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN16304315,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<,0.015
SAMN43564539,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN10221474,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN11960653,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN11372930,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN16484120,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26308811,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN12359995,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26304618,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN10221595,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN31087398,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03
SAMN43563473,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN43562833,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26309187,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN43563764,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN31087217,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26305004,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN26309162,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN12091250,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN10221218,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN12359853,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03
SAMN19670107,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0
SAMN43563676,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26304694,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN43565016,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN12943646,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN03177626,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03
SAMN48878536,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25
SAMN12359803,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN10221222,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN11621531,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,
SAMN10221378,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN22785518,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
SAMN26308849,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5
SAMN13279665,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015
