Fold,AUROC,Accuracy,Precision,Recall,F1
0,0.962,0.8923076923076924,0.875,0.84,0.8571428571428571
1,0.9764764764764764,0.953125,1.0,0.8888888888888888,0.9411764705882353
2,0.9498987854251013,0.890625,0.8518518518518519,0.8846153846153846,0.8679245283018868
3,0.9530791788856304,0.9375,1.0,0.8709677419354839,0.9310344827586207
4,1.0,0.984375,1.0,0.9666666666666667,0.9830508474576272
