,Mean,SD
Fold,2.0,1.5811388300841898
AUROC,0.9682908881574417,0.02050434372071623
Accuracy,0.9315865384615385,0.04033042093978778
Precision,0.9453703703703704,0.07525106582695874
Recall,0.8902277364212848,0.046824069548058546
F1,0.9160658372498454,0.05275201195089719
